DEPTH: 1
THRESH	vertex-c	edge-c
0	inf	1.9689119171	
0.05	inf	1.9689119171	
0.1	1.63357866338	1.93539325843	
0.15	1.63357866338	2.94400173556	
0.2	1.63357866338	2.29280130878	
0.25	1.63582205141	1.77011946023	
0.3	1.63748607903	1.73663580734	
0.35	1.63978952468	1.64573922353	
0.4	1.2893450197	1.62243558943	
0.45	1.2893450197	1.61629042217	
0.5	1.07207218591	1.3905724789	
0.55	1.07588218296	1.3905724789	
0.6	1.0798608697	1.38876507578	
0.65	1.08297185601	1.39347382187	
0.7	0.925222131887	1.25125765261	
0.75	0.914524765881	1.25343547621	
0.8	0.914524765881	1.0670978565	
0.85	0.635978753048	1.06702886	
0.9	0.635978753048	1.08972194968	
0.95	0.635978753048	1.0036809258	
