DEPTH: 1
THRESH	vertex-c	edge-c
0	-0.980952380952	-1.0	
0.05	-0.980952380952	-1.0	
0.1	0.595140688463	0.409434101472	
0.15	0.595140688463	0.409434101472	
0.2	0.541101075861	0.219282994229	
0.25	0.639823060358	0.134554963027	
0.3	0.710408908912	0.121325924028	
0.35	0.710408908912	0.144293602937	
0.4	0.738552001446	0.152042525409	
0.45	0.753879145861	0.116032810379	
0.5	0.810620248099	0.156560635132	
0.55	0.764764239029	0.183735162545	
0.6	0.852005930577	0.195198364246	
0.65	0.852005930577	0.202328258162	
0.7	0.872763347763	0.296809552881	
0.75	0.872763347763	0.305613262399	
0.8	0.886105957535	0.335188483474	
0.85	0.893934240363	0.360243970315	
0.9	0.893934240363	0.383544973545	
0.95	0.893934240363	0.389055177627	
1.0	1.0	1.0	

DEPTH: 2
THRESH	vertex-c	edge-c
0	-0.980952380952	-1.0	
0.05	-0.980952380952	-1.0	
0.1	0.196092798074	0.409434101472	
0.15	0.464166668301	0.409434101472	
0.2	0.433118046687	0.219282994229	
0.25	0.697841212541	0.134554963027	
0.3	0.75061747776	0.121325924028	
0.35	0.760821559393	0.143966500741	
0.4	0.846258503401	0.151715423213	
0.45	0.846258503401	0.116032810379	
0.5	0.866349206349	0.155755963613	
0.55	0.866349206349	0.157759290974	
0.6	0.866349206349	0.195113330232	
0.65	0.866349206349	0.217231370922	
0.7	0.888888888889	0.288660629494	
0.75	0.888888888889	0.304230042444	
0.8	0.888888888889	0.321445097231	
0.85	0.914285714286	0.377865079365	
0.9	0.914285714286	0.377037037037	
0.95	0.914285714286	0.387626606198	

DEPTH: 3
THRESH	vertex-c	edge-c
0	-0.980952380952	-1.0	
0.05	-0.980952380952	-1.0	
0.1	0.557249579522	0.409434101472	
0.15	0.557249579522	0.409434101472	
0.2	0.451069497996	0.219282994229	
0.25	0.644970803945	0.134554963027	
0.3	0.766505672976	0.121325924028	
0.35	0.810585217252	0.144293602937	
0.4	0.846529708109	0.151715423213	
0.45	0.85711330997	0.116032810379	
0.5	0.867368927369	0.162952100809	
0.55	0.87594035594	0.16332746463	
0.6	0.890226070226	0.195198364246	
0.65	0.890226070226	0.221670776314	
0.7	0.901228956229	0.286456043956	
0.75	0.901228956229	0.304230042444	
0.8	0.901228956229	0.32525462104	
0.85	0.893256373256	0.357863017934	
0.9	0.893256373256	0.387626606198	
0.95	0.893256373256	0.385245653817	

DEPTH: 4
THRESH	vertex-c	edge-c
0	-0.980952380952	-1.0	
0.05	-0.980952380952	-1.0	
0.1	0.552604073152	0.409434101472	
0.15	0.552604073152	0.409434101472	
0.2	0.451069497996	0.219282994229	
0.25	0.644970803945	0.134554963027	
0.3	0.731597770421	0.121325924028	
0.35	0.741439040263	0.144293602937	
0.4	0.810650724936	0.152042525409	
0.45	0.821308321308	0.116032810379	
0.5	0.831784511785	0.193131198958	
0.55	0.842895622896	0.202770879914	
0.6	0.850832130832	0.199383685098	
0.65	0.850832130832	0.198830525735	
0.7	0.876228956229	0.291835232669	
0.75	0.876228956229	0.312793912437	
0.8	0.885752765753	0.326116299045	
0.85	0.90278018278	0.380924242424	
0.9	0.90278018278	0.385245653817	
0.95	0.90278018278	0.385245653817	
